total_box,budget,release_coverage,pindex
109306210,0,0.122659864,2811509
441863,0,0.001654401,2811841
850,0,2.82E-05,2811901
3272593,0,0.00236343,2811926
3525125,0,0.023630943,2812089
1476,0,2.60E-05,2812097
32391374,7500000,0.026712207,2812231
230600,0,0.000637219,2812441
32945797,0,0.060276026,2812470
10337,0,0.000104126,2812842
72082998,0,0.085303928,2813648
14616,0,0.000249963,2813657
83291,0,0.000390472,2813706
224546,0,0.000286346,2813838
38178166,3.00E+07,0.062239099,2813882
203373,0,0.001591713,2813916
94784201,1.05E+08,0.088942679,2813947
144880014,0,0.097574922,2814573
66957026,8.50E+07,0.074328596,2814646
54702,8.00E+06,0.000156189,2814786
127035,0,0.000168124,2814883
32771,0,0.00042951,2814888
96464,0,0.000398005,2815121
82614,0,0.000524685,2815256
12234694,0,0.059414269,2815274
56671993,2.00E+07,0.036827903,2815322
18335230,1.80E+07,0.023178138,2815424
57231747,3.70E+07,0.094771511,2815562
52853219,5.00E+07,0.07260915,2815573
2337,0,2.58E-05,2815604
13809,0,0.001126239,2815635
71985628,2.50E+07,0.070449039,2815871
24403552,6.00E+07,0.065819861,2816015
36895141,0,0.070441234,2816177
83857,0,0,2816187
64167069,0,0.082965871,2816301
2567099,0,0.049807601,2816457
31745,0,0.000101215,2816729
111682,0,0.000249963,2816944
5979011,0,0.022482598,2817278
11132210,0,0.028757862,2818399
127154901,7.60E+07,0.095876578,2818430
75612460,6.10E+07,0.075654607,2818486
541636,0,0.001258487,2818927
9338,0,5.00E-05,2819140
6852450,6.00E+06,0.026339178,2819141
166112167,2.00E+08,0.087783244,2819946
68339,0,5.06E-05,2820053
33449086,0,0.050854722,2820315
5656493,0,0.016179619,2820475
25682380,1.30E+07,0.06923346,2820488
81159365,3.50E+07,0.076015862,2820494
16290476,2.00E+07,0.011528752,2820536
138447667,4.20E+07,0.079370682,2820548
191719337,5.00E+07,0.085744319,2820687
549185,0,0.015441986,2820781
13084595,5.00E+06,0.013870208,2821377
76808654,3.00E+07,0.079157439,2821454
37170488,4.30E+07,0.069353198,2821509
18869,0,0.000126065,2821522
2120564,0,0.005316774,2821633
17162,0,2.93E-05,2821688
43073,0,7.59E-05,2821860
30697999,2.80E+07,0.071879067,2821994
