InvestorId,Investor_Name,successful_investments
100000-36,Reed Exhibitions,6
100000-72,Tecnologías Diales de México,
100000-99,Jade Sparkle Holdings,3
100001-17,Preim Euros,
100001-44,Green Riches Holdings,
100002-16,MIT Venture Mentoring Service,
100002-43,Total Parco Pakistan,
100002-79,KPMG Crimsonwing,
100003-33,Jika Properties (Pty),
100003-69,Neostar Developers,
100003-96,Naas Credit Union,
100004-50,Lebronze Alloys Germany,
100004-59,Mytaros,2
100005-13,ARGO Data Resource,
100005-31,Johann Offner,
100006-39,Blackjack Promotions,
100006-48,Purvis Industries,
100007-20,Omni Serv,
100007-38,Saar-Metallwerke Group,2
100007-83,American Para Professional Systems,
100007-92,Wainbee,
100008-37,Craft Equipment Company,
100009-00,OSI Electronics,
100009-63,Murmanskaya Gorelektroset,
100009-99,TerraTherm,
100010-35,First 10 Digital,
100010-44,Schneider Electric Canada,
100010-71,Sciessence,
100011-07,vocon partners,
100011-43,Ambruz & Dark Deloitte Legal,
100011-52,BC Innovation Council,3
100011-70,Pace Development,1
100012-51,Wild Card,
100012-87,Speshialised Power Master Fund,
100013-14,Rubie's Masquerade,
100013-41,"TCS Industries, Inc.",
100013-59,JP Morgan Clearing,2
100014-67,Gavis Bregy Commerce,
100015-12,Trade Win Investments,
100015-30,Lui's Investment,
100015-39,Ingerop,
100015-66,Linx International,
100016-29,U.S. Oil,
100016-92,Bioeconomy Capital,
100017-10,Marlow Capital,1
100017-19,DBInformation,1
100017-55,Hypromel Group,1
100017-82,Llewellyn,1
100017-91,SESR,1
100018-00,United Trailers,1
100018-18,Uni of Sheffield Advanced Manufacturing Research Centre,
100018-27,Pineapple Hospitality (Washington),
100018-45,Odis,
100018-99,Aktiv,4
100019-17,Rumpke,1
100019-44,ifm electronic,
100019-71,Moly-Cop Chile,
100020-25,Rhipe,
100022-32,Devenish Nutrition,
100022-86,The Pond-Deshpande Centre,
100024-48,Priority Ambulance,
100025-20,F&C Commercial Property Trust,
100025-74,International Public Partnerships,
100025-92,Aseana Properties,2
100026-28,Oryx Intl Growth Fund,1
100026-73,Estrella-Linda,
100026-82,Prudential Towne Realty,
100027-00,Fixmarket,1
100030-51,AWS Truepower,
100031-05,Hedge Capital Investments,1
100031-23,Cumulo9,
100031-32,Asia Plantation Capital,
100031-41,Hua Lin aloes Biological Engineering Co,
100031-95,Sutton Winson,
100032-13,Winferm,
100032-94,Main St. Personal Finance,1
100033-12,"Kerber, Rose & Associates",
100033-93,Diversified Aero Services,
100034-56,DOMOREGOOD,1
100034-74,Ehrmann Reisen,
100035-10,Chinese Ice Angels,
100035-19,Pacific Channel,4
100035-37,Donstroy,
100035-55,Amkodor,
100035-91,ZWG,
100036-00,EDAG Engineering,2
100036-63,BV Multimedia,
100036-99,ApTask,
100037-17,The Redpath Group,1
100037-35,Angel Summit,1
100037-53,Sorgente Group,2
100038-16,Novatech (It Services),
100038-97,Izingwe Holdings,1
100039-15,Swift Fuels,
100039-42,Southern Palace Group of Companies,1
100039-60,Growwise Holdings,1
100039-69,Golden Line Consultant,
100039-87,Ware & Kay Solicitors,
100040-32,Stanford Hotels,
100040-41,Gilbert Stephens,
