pindex,year,project,pcindex,prod_company,country
2810958,2017,#FromJennifer (2017),PC156893,Lone Morsel Productions [us],us
2810986,2015,#Horror (2015),PC158358,Lowland Pictures [us],us
2810986,2015,#Horror (2015),PC006857,AST Studios [us],us
2811144,2014,#Stuck (2014),PC263611,The Mob Entertainment [us],us
2811144,2014,#Stuck (2014),PC251914,Stuck Productions [us],us
2811144,2014,#Stuck (2014),PC253233,Stupendous Films [us],us
2811274,2008,$5 a Day (2008),PC017845,Aramid Entertainment Fund [ky],ky
2811274,2008,$5 a Day (2008),PC126439,Image Entertainment [us],us
2811274,2008,$5 a Day (2008),PC111507,Grand Army Entertainment [us],us
2811274,2008,$5 a Day (2008),PC109962,Golden Ring International [us],
2811274,2008,$5 a Day (2008),PC096843,Five Dollars a Day [us],us
2811274,2008,$5 a Day (2008),PC046569,Carol Baum Productions [us],us
2811274,2008,$5 a Day (2008),PC045782,Capitol Films [gb],gb
2811297,2016,$elfie Shootout (2016),PC108094,Giorgio Daveed Productions [us],us
2811297,2016,$elfie Shootout (2016),PC004042,905 Productions [us],us
2811298,2012,$ellebrity (2012),PC227145,Run Rampant [us],us
2811310,2000,$pent (2000),PC246743,Spent LLC [us],us
2811310,2000,$pent (2000),PC257322,THF Pictures,
2811310,2000,$pent (2000),PC268850,Trademark Entertainment,
2811509,1988,'Crocodile' Dundee II (1988),PC223044,Rimfire Films [au],au
2811509,1988,'Crocodile' Dundee II (1988),PC199378,Paramount Pictures [us],us
2811841,1986,"'night, Mother (1986)",PC034088,Blackbird Productions,
2811841,1986,"'night, Mother (1986)",PC007278,Aaron Spelling Productions [us],us
2811841,1986,"'night, Mother (1986)",PC275663,Universal Pictures [us],us
2811901,2001,'R Xmas (2001),PC028102,Barnholtz Entertainment [us],us
2811901,2001,'R Xmas (2001),PC277901,Valence Films Inc.,
2811926,1986,'Round Midnight (1986),PC196510,PECF [fr],fr
2811926,1986,'Round Midnight (1986),PC155432,Little Bear [fr],fr
2811974,2008,'Side by Each' (2008),PC055377,City Pound Productions [us],us
2812089,1997,'Til There Was You (1997),PC148928,Lakeshore Entertainment [us],us
2812089,1997,'Til There Was You (1997),PC199378,Paramount Pictures [us],us
2812231,2009,(500) Days of Summer (2009),PC285165,Watermark [us],us
2812231,2009,(500) Days of Summer (2009),PC077653,Dune Entertainment III [us],us
2812231,2009,(500) Days of Summer (2009),PC100222,Fox Searchlight Pictures [us],us
2812234,2013,(614) Days of Summer (2013),PC212779,Pulse Radio Films [us],us
2812234,2013,(614) Days of Summer (2013),PC156077,Living Lavish Productions [us],us
