pcindex,first_year,last_year
PC013806,2017,2016
PC076619,2016,2016
PC117545,2016,2016
PC021835,2014,2016
PC154197,2014,2016
PC069927,2013,2016
PC219550,2013,2016
PC254038,2012,2016
PC158496,2012,2016
PC158494,2012,2016
PC214842,2012,2016
PC195573,2012,2016
PC273637,2011,2016
PC198602,2010,2016
PC100146,2010,2016
PC252885,2009,2016
PC196806,2009,2016
PC167147,2009,2016
PC065206,2009,2016
PC126259,2008,2016
PC162892,2007,2009
PC223854,2007,2016
PC042590,2007,2016
PC217673,2006,2016
PC100121,2006,2009
PC205032,2006,2016
PC195164,2006,2016
PC042584,2004,2009
PC220978,2004,2016
PC270197,2004,2016
PC225008,2004,2016
PC195736,2004,2016
PC179562,2004,2016
PC180922,2003,2016
PC161769,2003,2016
PC182586,2003,2016
PC100184,2002,2016
PC100185,2002,2016
PC100187,2002,2016
PC098309,2002,2016
PC117725,2000,2016
PC032399,1999,2016
PC067570,1999,2016
PC290041,1999,2016
PC206852,1999,2016
PC129005,1998,2016
PC129004,1998,2016
PC211907,1998,2002
PC130898,1998,2016
PC076610,1997,2016
PC035754,1997,2016
PC230897,1997,1999
PC100120,1997,2016
PC177862,1996,1997
PC161873,1996,2016
PC005561,1996,2016
PC005564,1996,2016
PC005571,1996,2016
PC184739,1996,2016
PC047309,1996,2016
PC271802,1996,2016
PC279696,1995,2004
PC185965,1995,2016
PC249357,1994,2016
PC249368,1994,2016
PC249366,1994,2016
PC249361,1994,2016
PC155106,1994,2016
PC007278,1994,2016
PC246716,1994,2016
PC246717,1994,2016
PC246718,1994,2016
PC185184,1994,1997
PC227673,1993,1999
PC174464,1993,2010
PC111420,1992,2016
PC072788,1992,2016
PC173268,1992,2015
PC189194,1992,2015
PC046057,1992,1999
PC095786,1991,2005
PC220644,1991,2016
PC028967,1990,2016
PC028971,1990,2016
PC045455,1990,1994
PC045449,1990,1994
PC045451,1990,1994
PC045458,1990,1994
PC045459,1990,1994
PC045461,1990,1994
PC045462,1990,1994
PC229405,1990,2016
PC125542,1989,2016
PC057816,1989,2016
PC071042,1989,2016
PC270013,1989,2016
PC270009,1989,2016
PC121293,1989,2007
PC121471,1989,2016
PC184930,1988,2016
PC175954,1988,2016
PC253059,1987,2016
PC253058,1987,2016
PC253057,1987,2016
PC045205,1987,2016
PC045204,1987,2016
PC045203,1987,2016
PC045180,1987,2016
PC045176,1987,2016
PC045141,1987,2016
PC269894,1987,2016
PC057839,1987,2016
PC269896,1987,2016
PC126772,1987,2016
PC115073,1985,2016
PC115082,1985,2016
PC115074,1985,2016
PC115079,1985,2016
PC115084,1985,2016
PC115105,1985,2016
PC024931,1984,2016
PC024894,1984,2016
PC024917,1984,2016
PC024919,1984,2016
PC024952,1984,2016
PC024991,1984,2016
PC025023,1984,2016
PC039362,1984,2016
PC045214,1984,2016
PC202336,1984,2016
PC068568,1984,2016
PC068569,1984,2016
PC132591,1984,2016
PC167148,1984,2016
PC167153,1984,2016
PC167146,1984,2016
PC167149,1984,2016
PC161975,1984,2009
PC008163,1984,2016
PC025982,1984,2016
PC076904,1984,2016
PC082285,1984,2016
PC184101,1984,2016
PC226175,1984,2016
PC234362,1984,2016
PC239292,1984,2016
PC252199,1984,2016
PC280918,1984,2016
PC268505,1984,2016
PC073481,1984,2016
PC073509,1984,2016
PC073511,1984,2016
PC284284,1984,2016
PC284285,1984,2016
PC284287,1984,2016
PC284299,1984,2016
PC284302,1984,2016
PC049452,1982,2016
PC049498,1982,2016
PC270694,1982,2015
PC275158,1982,2016
PC275579,1981,2016
PC054112,1980,2016
PC079112,1979,2016
PC079113,1979,2016
PC079114,1979,2016
PC084316,1979,2016
PC194490,1978,2016
PC275702,1978,2016
PC164668,1968,2016
PC185969,1968,2016
PC233727,1933,2016
PC057805,1924,2016
PC073500,1923,2016
